"","ESA","ESB","ESC","ESD","ITS"
"1",2.07937147461724,0,0,0,0
"100",63.663574452741,0,0.00793650793650794,0.80952380952381,0
"106",1.59991941982272,0,0,0,0
"111",18.6103994131823,0,0,0.404761904761905,0
"117",3.45117647058824,0,0,1,0
"118",13.1407521144942,0,0,0.509803921568627,0
"12",1.01885369532428,0,0,0,0
"120",0,0,0,0,0
"121",12.1254976533561,0,0,2.83333333333333,0
"124",0,0,0,0,0
"127",1.25373134328358,0,0,0,0
"128",9.65412491884171,0,0,0,0
"13",0,0,0,0,0
"144",0.520547945205479,0,0,0,0
"145",4.16046071938709,0,0,0,0
"146",6.91457580814277,0,0,0,0
"149",2.94183301307878,0,0,0,0
"152",1.55882352941176,0,0,0,0
"153",6.89697892487602,0,0,0,0
"158",0.0099009900990099,0,0,0,0
"16",17.4053539233615,0,2.23259728187989,0,0
"160",0.608,0,0,0,0
"205",2.05976363147999,0,0,0,0
"212",69.9773957621315,0,0,1.61904761904762,0
"216",9.2858124669808,0,0,3.64285714285714,0
"233",2.89474665351726,0,0,0,0
"24",8.53179361513271,0,0.4375,2.04,0
"26",31.8423640299669,0,0,0.404761904761905,0
"28",74.6453223609448,0,0,0,0
"32",1.56872451951077,0,3.26127452615594,0,0
"328",6.21683120086978,0,0,0,0
"332",0.503311258278146,0,0,0,0
"334",0,0,5.62825562692956,0,0
"336",47.5633459554784,0,0,0.404761904761905,0
"338",3.17748446324867,0,0,0,0
"339",1.67647058823529,0,0,0,0
"344",1.04109589041096,0,0,0,0
"345",4.46100380799984,0,0,0,0
"347",0.578823529411765,0,0,0,0
"352",1.07937147461724,0,0,0,0
"353",0.558823529411765,0,0,0,0
"36",6.69052863957451,0,0,0,0
"364",36.2569950795458,0,0,2.02380952380952,0
"369",2.05976363147999,0,0,0,0
"389",3.30044665965815,0,0,0,0
"39",1.50331125827815,0,0,0,0
"40",3.47148007190231,0,89.0309398900703,0,0
"409",51.7605126553754,0,0,0.404761904761905,0
"411",120.942390978466,0,1.44986392295946,1.82913165266106,0
"413",1.58937147461724,0,0,1.21428571428571,0
"414",1.52054794520548,0,0,0,0
"415",0.558823529411765,0,0,0,0
"416",2.50094010206822,0,0,0,0
"420",3.05976363147999,0,0,0,0
"421",0.558823529411765,0,0,0,0
"422",1.55882352941176,0,0,0,0
"423",0.558823529411765,0,0,0,0
"424",1.16682352941176,0,0,0,0
"428",4.5989793177545,0,0,0,0
"431",0.520547945205479,0,0,0,0
"435",1.58268273289539,0,0,0,0
"436",1.07937147461724,0,0,0,0
"444",1.07937147461724,0,0,0,0
"46",8.90167573093437,0,0,0,0
"460",1.73654794520548,0,2.58415261096465,0,0
"478",5.85273694040802,0,0,0,0
"49",1.07937147461724,0,0,0,0
"59",0.812554872695347,0,0,0.404761904761905,0
"69",0.0384615384615385,0,0,0,0
"70",4.68016737840386,0,0,0,0
"78",0.558823529411765,0,0,0,0
"79",2.16682352941176,0,0,0,0
"80",2.24904887328066,0,0,0,0
"83",8.89573016342279,0,0,0,0
"87",1.07937147461724,0,0,0,0
"91",29.6960982675633,0,4.74461231989667,0,0
"92",149.671397449887,0,0,1.61904761904762,0
"97",5.69166342033502,0,0,0,0
