"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff","Cost","MI_Hellenistic","MI_Roman","MI_diff"
1,100,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
1,106,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,111,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
1,117,0.8,1,-0.2,NA,0.22314355131421,0.500402423538188,-0.277258872223978
1,118,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
1,12,1,1,0,19.188,0.500402423538188,0.500402423538188,0
1,120,0.8,1,-0.2,NA,0,0.500402423538188,-0.500402423538188
1,121,0.8,0.2,0.6,NA,0.22314355131421,0,0.22314355131421
1,124,0.8,1,-0.2,NA,0,0.500402423538188,-0.500402423538188
1,127,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,128,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,13,0.8,0.6,0.2,11.813,0,0.0505343078431413,-0.0505343078431413
1,144,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,145,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,146,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,149,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
1,152,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,153,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,158,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,16,0.8,0.2,0.6,9.632,0.22314355131421,0,0.22314355131421
1,160,1,0.6,0.4,NA,0.500402423538188,0.1184939225613,0.381908500976888
1,205,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,212,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
1,216,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
1,233,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
1,24,0.6,0.2,0.4,9.632,0.1184939225613,0,0.1184939225613
1,26,0.8,0.4,0.4,8.908,0.22314355131421,0.0505343078431413,0.172609243471069
1,28,1,0.8,0.2,16.975,0.500402423538188,0.22314355131421,0.277258872223978
1,32,0.8,0.4,0.4,9.632,0.22314355131421,0.0505343078431413,0.172609243471069
1,328,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
1,332,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,334,0.6,0.2,0.4,NA,0.0505343078431413,0.22314355131421,-0.172609243471069
1,336,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
1,338,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,339,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
1,344,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,345,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,347,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
1,352,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,353,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,36,1,1,0,8.908,0.500402423538188,0.500402423538188,0
1,364,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
1,369,1,0.6,0.4,NA,0.500402423538188,0.1184939225613,0.381908500976888
1,389,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,39,1,0.6,0.4,8.908,0.500402423538188,0.1184939225613,0.381908500976888
1,40,0.8,0.4,0.4,16.422,0.22314355131421,0.0505343078431413,0.172609243471069
1,409,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
1,411,0.6,0.2,0.4,NA,0.1184939225613,0,0.1184939225613
1,413,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
1,414,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,415,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,416,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,420,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,421,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,422,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,423,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,424,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,428,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,431,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,435,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,436,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,444,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,46,1,1,0,7.446,0.500402423538188,0.500402423538188,0
1,460,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
1,478,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,49,1,1,0,3.66,0.500402423538188,0.500402423538188,0
1,59,0.8,0.6,0.2,5.02,0.22314355131421,0.1184939225613,0.10464962875291
1,69,1,1,0,2.835,0.500402423538188,0.500402423538188,0
1,70,1,1,0,0,0.500402423538188,0.500402423538188,0
1,78,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
1,79,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,80,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,83,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,87,1,1,0,NA,0.500402423538188,0.500402423538188,0
1,91,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
1,92,0.8,0.6,0.2,NA,0.22314355131421,0.1184939225613,0.10464962875291
1,97,1,1,0,NA,0.500402423538188,0.500402423538188,0
100,106,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,111,0.8,0.8,0,NA,0.291103166032368,0.291103166032368,0
100,117,0.8,0.6,0.2,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,118,0.8,0.8,0,NA,0.291103166032368,0.291103166032368,0
100,12,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,120,0.4,0.6,-0.2,NA,0,0.1184939225613,-0.1184939225613
100,121,0.8,0.6,0.2,NA,0.291103166032368,0,0.291103166032368
100,124,0.4,0.6,-0.2,NA,0,0.1184939225613,-0.1184939225613
100,127,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
