"Var1","Var2","Cost","MI_Hellenistic","MI_Roman"
100,102,13.795,0.673011667009256,0
100,121,5.576,0.291103166032368,0
100,13,14.805,0,0.22314355131421
100,139,14.08,0.673011667009256,0
100,16,16.525,0.291103166032368,0
100,212,7.452,0.291103166032368,0.291103166032368
100,216,7.452,0.291103166032368,0.1184939225613
100,26,0,0.291103166032368,0.1184939225613
100,28,0.865,0.1184939225613,0.0138442938083905
100,330,3.918,0.673011667009256,0
100,334,13.804,0.1184939225613,0.291103166032368
100,336,12.995,0.291103166032368,0.1184939225613
100,34,18.089,0.291103166032368,0
100,347,11.824,0.1184939225613,0.0138442938083905
100,364,5.576,0.291103166032368,0.1184939225613
100,365,13.724,0.291103166032368,0.1184939225613
100,387,23.316,0.291103166032368,0.1184939225613
100,40,13.931,0.291103166032368,0.1184939225613
100,409,3.53,0.291103166032368,0.1184939225613
100,41,18.002,0.291103166032368,0
100,411,3.791,0.673011667009256,0
100,460,15.721,0.291103166032368,0.1184939225613
100,57,25.238,0.291103166032368,0.1184939225613
100,63,38.122,0.291103166032368,0.0138442938083905
100,66,18.089,0.1184939225613,0
100,91,11.824,0.291103166032368,0.1184939225613
100,92,0.865,0.291103166032368,0.0138442938083905
102,100,13.795,0.673011667009256,0
102,121,17.761,0.291103166032368,0
102,13,17.733,0,0
102,139,2.535,0.673011667009256,0
102,16,16.783,0.291103166032368,0
102,212,19.637,0.291103166032368,0
102,216,19.637,0.291103166032368,0
102,26,13.795,0.291103166032368,0
102,28,14.378,0.1184939225613,0
102,330,12.255,0.673011667009256,0
102,334,7.941,0.1184939225613,0
102,336,25.18,0.291103166032368,0
102,34,6.544,0.291103166032368,0
102,347,5.961,0.1184939225613,0
102,364,17.761,0.291103166032368,0
102,365,6.821,0.291103166032368,0
102,387,12.394,0.291103166032368,0
102,40,8.068,0.291103166032368,0
102,409,15,0.291103166032368,0
102,41,6.602,0.291103166032368,0
102,411,15.976,0.673011667009256,0
102,460,9.858,0.291103166032368,0
102,57,11.531,0.291103166032368,0
102,63,26.577,0.291103166032368,0
102,66,6.544,0.1184939225613,0
102,91,5.961,0.291103166032368,0
102,92,14.378,0.291103166032368,0
121,100,5.576,0.291103166032368,0
121,102,17.761,0.291103166032368,0
121,13,18.772,0,0
121,139,18.047,0.291103166032368,0
121,16,12.187,0.0138442938083905,0
121,212,2.835,0.673011667009256,0
121,216,2.835,0.673011667009256,0
121,26,5.576,0.673011667009256,0
121,28,5.57,0.22314355131421,0
121,330,7.366,0.291103166032368,0
121,334,17.771,0.1184939225613,0
121,336,8.379,0.673011667009256,0
121,34,22.056,0.0138442938083905,0
121,347,15.791,0.22314355131421,0
121,364,0,0.673011667009256,0
121,365,17.691,0.0138442938083905,0
121,387,27.283,0.0138442938083905,0
121,40,17.898,0.0138442938083905,0
121,409,8.399,0.673011667009256,0
121,41,21.969,0.0138442938083905,0
121,411,1.785,0.291103166032368,0
121,460,19.688,0.0138442938083905,0
121,57,29.205,0.673011667009256,0
121,63,42.089,0.673011667009256,0
121,66,22.056,0.22314355131421,0
121,91,15.791,0.0138442938083905,0
121,92,5.57,0.673011667009256,0
13,100,14.805,0,0.22314355131421
13,102,17.733,0,0
13,121,18.772,0,0
13,139,18.018,0,0
13,16,27.326,0,0
13,212,20.647,0,0.1184939225613
13,216,20.647,0,0.0505343078431413
13,26,14.805,0,0.0505343078431413
13,28,15.389,0,0.1184939225613
13,330,13.265,0,0
13,334,9.856,0,0.1184939225613
13,336,26.191,0,0.0505343078431413
13,34,13.414,0,0
13,347,11.772,0,0.22314355131421
13,364,18.772,0,0.0505343078431413
