"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff"
28,387,0.8,0.6,0.2
28,40,0.8,0.6,0.2
28,409,0.8,0.6,0.2
28,41,0.8,0.4,0.4
28,411,0.6,0.4,0.2
28,460,0.8,0.6,0.2
28,57,0.8,0.6,0.2
28,63,0.8,0.8,0
28,66,1,0.4,0.6
28,91,0.8,0.6,0.2
28,92,0.8,0.8,0
330,334,0.6,0.6,0
330,336,0.8,0.8,0
330,34,0.8,1,-0.2
330,347,0.6,0.4,0.2
330,364,0.8,0.8,0
330,365,0.8,0.8,0
330,387,0.8,0.8,0
330,40,0.8,0.8,0
330,409,0.8,0.8,0
330,41,0.8,1,-0.2
330,411,1,1,0
330,460,0.8,0.8,0
330,57,0.8,0.8,0
330,63,0.8,0.6,0.2
330,66,0.6,1,-0.4
330,91,0.8,0.8,0
330,92,0.8,0.6,0.2
334,336,0.4,0.4,0
334,34,0.8,0.6,0.2
334,347,0.6,0.4,0.2
334,364,0.4,0.4,0
334,365,0.8,0.8,0
334,387,0.8,0.8,0
334,40,0.8,0.8,0
334,409,0.4,0.4,0
334,41,0.8,0.6,0.2
334,411,0.6,0.6,0
334,460,0.8,0.8,0
334,57,0.4,0.4,0
334,63,0.4,0.2,0.2
334,66,0.6,0.6,0
334,91,0.8,0.8,0
334,92,0.4,0.2,0.2
336,34,0.6,0.8,-0.2
336,347,0.8,0.6,0.2
336,364,1,1,0
336,365,0.6,0.6,0
336,387,0.6,0.6,0
336,40,0.6,0.6,0
336,409,1,1,0
336,41,0.6,0.8,-0.2
336,411,0.8,0.8,0
336,460,0.6,0.6,0
336,57,1,1,0
336,63,1,0.8,0.2
336,66,0.8,0.8,0
336,91,0.6,0.6,0
336,92,1,0.8,0.2
34,347,0.8,0.4,0.4
34,364,0.6,0.8,-0.2
34,365,1,0.8,0.2
34,387,1,0.8,0.2
34,40,1,0.8,0.2
34,409,0.6,0.8,-0.2
34,41,1,1,0
34,411,0.8,1,-0.2
34,460,1,0.8,0.2
34,57,0.6,0.8,-0.2
34,63,0.6,0.6,0
34,66,0.8,1,-0.2
34,91,1,0.8,0.2
34,92,0.6,0.6,0
347,364,0.8,0.6,0.2
347,365,0.8,0.6,0.2
347,387,0.8,0.6,0.2
347,40,0.8,0.6,0.2
347,409,0.8,0.6,0.2
347,41,0.8,0.4,0.4
347,411,0.6,0.4,0.2
347,460,0.8,0.6,0.2
347,57,0.8,0.6,0.2
347,63,0.8,0.4,0.4
347,66,1,0.4,0.6
347,91,0.8,0.6,0.2
347,92,0.8,0.4,0.4
364,365,0.6,0.6,0
364,387,0.6,0.6,0
364,40,0.6,0.6,0
364,409,1,1,0
364,41,0.6,0.8,-0.2
364,411,0.8,0.8,0
364,460,0.6,0.6,0
364,57,1,1,0
364,63,1,0.8,0.2
364,66,0.8,0.8,0
364,91,0.6,0.6,0
364,92,1,0.8,0.2
365,387,1,1,0
365,40,1,1,0
365,409,0.6,0.6,0
365,41,1,0.8,0.2
365,411,0.8,0.8,0
365,460,1,1,0
365,57,0.6,0.6,0
365,63,0.6,0.4,0.2
365,66,0.8,0.8,0
